Transaction unique identifier,Price,Date of Transfer,Postcode,Property Type,Old/New,Duration,PAON,SAON,Street,Locality,Town/City,District,County,PPD Category Type,Record Status - monthly file only
{B0A9D11B-3D0F-4C1F-E053-6C04A8C0D716},505100,43949,CB4 2ZE,T,Y,F,1,,MARMALADE LANE,,CAMBRIDGE,SOUTH CAMBRIDGESHIRE,CAMBRIDGESHIRE,A,D
{B5755FFE-7141-7D01-E053-6C04A8C036B6},520000,43739,ME4 3AX,T,Y,F,3,,AUGUSTUS WAY,ST MARYS ISLAND,CHATHAM,MEDWAY,MEDWAY,A,D
{B5755FFE-56A2-7D01-E053-6C04A8C036B6},525000,43755,BR5 3AD,T,Y,F,9,,GRAYS FARM ROAD,,ORPINGTON,BROMLEY,GREATER LONDON,A,D
{C6209F5E-D32F-295E-E053-6C04A8C0DDCC},525000,44127,UB8 3DZ,T,Y,F,10,,CONNAUGHT CLOSE,,UXBRIDGE,HILLINGDON,GREATER LONDON,A,A
{C6209F5F-5857-295E-E053-6C04A8C0DDCC},530000,44176,SO22 6GT,T,Y,F,10,,KHOSLA ROAD,,WINCHESTER,WINCHESTER,HAMPSHIRE,A,A
{BEF7EBBF-565E-7A76-E053-6B04A8C092F7},540000,44089,RH9 8FG,T,Y,F,6,,WILLIAM WAY,,GODSTONE,TANDRIDGE,SURREY,A,D
{C6209F5F-DDC1-295E-E053-6C04A8C0DDCC},550000,43889,GU20 6AX,T,Y,F,1,,POST HOUSE MEWS,,WINDLESHAM,SURREY HEATH,SURREY,B,A
{C6209F5F-EBBF-295E-E053-6C04A8C0DDCC},550000,44111,TN1 2BT,T,Y,F,9E,,TUNNEL ROAD,,TUNBRIDGE WELLS,TUNBRIDGE WELLS,KENT,A,A
{B5755FFD-B5B1-7D01-E053-6C04A8C036B6},584999,44070,NW9 4AG,T,Y,F,40,,COXWELL BOULEVARD,,LONDON,BARNET,GREATER LONDON,A,D
{BEF7EBBF-5646-7A76-E053-6B04A8C092F7},585000,44064,TW17 9BF,T,Y,F,8,,OLD HALLIFORD PLACE,,SHEPPERTON,SPELTHORNE,SURREY,A,D
{B0A9D11B-D73A-4C1F-E053-6C04A8C0D716},590000,43916,TN2 5FT,T,Y,F,3,,DUNCALF ROAD,,TUNBRIDGE WELLS,TUNBRIDGE WELLS,KENT,A,D
